BMQDV;yCeTE 2;biGQs 4
Logan W;"Kami juga melakukan tur matahari terbit, yang hanya dapat dipesan oleh hotel di lingkungan kuil. Mereka dapat hotel lain di daerah untuk melakukan pemesanan melalui mereka, sehingga anda tidak berkewajiban untuk tinggal di sana. Matahari terbit ""tur"" sangat luar biasa padat, sampai di sana dini untuk mendapatkan kursi, dan bersiaplah untuk pabrik di sekitar untuk sementara setelah untuk mendapatkan gambar tanpa orang banyak di merekaAnda tidak ingin untuk sampai ke puncak, hanya beberapa anak tangga (aku tidak akan menggolongkan ini sebagai perjalanan sama sekali). Pasti layak melihat. Perlu diketahui, juga, bahwa tiket prambanan dengan ganda tidak tersedia untuk matahari terbit.";Ditulis pada 24 September 2016
Andros A;Ini adalah yang terbesar di dunia, dan kuil budist setelah upaya dari 1911 ini sangat baik diawetkan selama lebih dari 1000 tahun (ini dibangun antara tahun 750 dan 850). Sedikit ramai tapi tidak terlalu jauh dan menawarkan beberapa ukiran yang indah di seluruh dinding utama yang memberitahu cerita raja dan dewa kali.;Ditulis pada 22 September 2016
Nico F;sangat budaya dan irama. Meskipun beberapa bagian dari itu yang hancur oleh gempa bumi, masih cukup luar biasa untuk menemukan. Pastikan anda pergi untuk matahari terbit!;Ditulis pada 22 September 2016
Udrasena D;Ada banyak ulasan tentang tempat ini dan bahkan tidak repot-repot untuk mendapatkan pendapat saya. Ini adalah indah, dan segala sesuatu, tetapi anda tidak bisa mendapatkan suasana kuil karena tempat ini terlalu ramai dikunjungi turis.;Ditulis pada 21 September 2016
irfan r;jika anda mengunjungi yogyakatra atau harus saya katakan bahwa jika anda tidak mengunjungi yogyakatra mengunjungi indonesia, tetapi bahkan kemudian anda harus pergi ke yogyakatra hanya untuk mengunjungi kuil yang indah ini. Ini benar-benar menakjubkan, bernilai setiap sen yang kami bayarkan.;Ditulis pada 21 September 2016
ruthdian93;saya datang ke sini dengan teman 2 saya di 11am. itu adalah hari yang cerah dan kami tidak membawa payung atau topi agar kami kecokelatan setelah! Tapi jujur itu layak karena itu indah di luar harapan saya. Tangga yang sangat panjang, tapi kami membuatnya ke atas! Dari puncak, kita juga bisa melihat pemandangan kota! Saya pikir saya mungkin pergi lagi untuk melihat matahari terbit!;Ditulis pada 21 September 2016
;;
Indranil5;"Situs warisan dunia unesco ini diberi judul dan alasan... karena itu menakjubkan! ""Saya percaya,"" ini terbuat dari lava dan arsitektur yang indah. Aku akan menyukai untuk mempelajari lebih lanjut tentang sejarah kuil ini (yang saya butuhkan untuk memeriksa). Lingkungan di sekitar kuil ini pada dasarnya adalah sisi negara dan indah/menakjubkan jika anda suka alam. Kami pergi ke restoran/resor yang layak dikunjungi karena dari restoran anda dapat melihat candi... pemandangan yang indah. Kesalahan saya hanya adalah pergi ke 12 siang hari dan sangat panas... oleh karena itu, pergi di pagi hari. juga jika anda mendapatkan kesempatan anda harus mengunjungi candi prambanan yang sangat dekat dengan bandara.";Ditulis pada 20 September 2016
Tiz;"saya pernah ingin datang ke tempat ini untuk tahun ini dan terakhir. Dan tempat ini tidak mengecewakan saya. candi, kebudayaan dan sejarah yang sangat bagus. Pemandangan dan pemandangan sekitar juga sangat bagus. Kekurangan: perbedaan besar dalam harga tiket untuk orang asing dan lokal, ada banyak ""keluar"" tapi semua pintu gerbang menuju kios souvenir yang memberikan perasaan yang sangat tidak nyaman.";Ditulis pada 20 September 2016
Kay;Kuil ini menakjubkan dan adalah cara yang hebat untuk menghabiskan beberapa jam menjelajahi dan berkeliaran di sekitar.Matahari terbit adalah mutlak harus - kuil dengan warna lembut di pagi hari terlihat lebih baik dari yang diharapkan. Tentu saja akan ada beberapa keramaian, namun demikian dapat mengambil foto yang indah.Benar-benar layak dikunjungi.;Ditulis pada 19 September 2016
sooyoungi;Saya tidak benar-benar sebuah kuil di situs sebagai turis, tapi tempat ini memang luar biasa. Berada di puncak bukit membuat anda bertanya-tanya bagaimana segala sesuatu dilakukan. Tentu saja taman di sekitar itu dilakukan di zaman modern, tapi itu masih luar biasa. Pergi di pagi hari atau di sore hari untuk mendapatkan lebih banyak gambar yang menakjubkan, pencahayaan keras siang hari, tapi anda pasti dapat mendapatkan gambar yang bagus.;Ditulis pada 19 September 2016
Simone-van-Rumund;Kami pergi ke jawa untuk mengunjungi kuil di sekitar yogya. Kami mulai dengan matahari terbit dari atas bukit. Itu terlalu berawan jadi kami tidak melihat candi. Borobudur itu sendiri adalah sebuah bangunan yang sangat imposant. besar dan lengkap! Di atas anda memiliki pemandangan yang luar biasa! Alasan dipelihara sempurna, dan anda mendengar musik yang anda di kuil yang mencolok. Di pintu masuk anda mendapatkan minuman gratis kecil. Kopi, teh atau air mineral botol. Itu sangat diperlukan, karena itu sangat panas di sana. Mengenakan topi dan tabir surya! sangat istimewa untuk berada di sini. Mahasiswa memiliki diskon jadi jika anda belajar, siswa anda melewati!;Ditulis pada 19 September 2016
Anymart;"Aku tiba pagi hari di borobudur, sekitar enam, hanya setelah matahari terbit. Saya adalah hanya salah satu kelompok saya memesan panduan, dan mengambil tur lengkap 150k rupiah. Itu membantu saya banyak. Walaupun sebagian besar wisatawan yang berjalan di lantai atas. Aku melihat yang paling indah dengan ukiran di cahaya pagi yang luar biasa. Di 7,30 semakin sibuk, tetapi panduan membantu saya untuk menjaga orang-orang keluar dari gambar saya. Ketika saya datang kembali untuk kelompok, beberapa dari mereka tidak mengerti apa yang begitu indah tentang tempat. Tapi mereka bisa memeriksa karena telah ada, melakukannya, mendapatkan t-shirt. Dan selain itu, pemandu akan membantu anda untuk melewati semua toko di pintu keluar; )";Ditulis pada 18 September 2016
Christiandrome;Ini adalah tempat yang sangat bagus untuk melihat. Saya tidak menaruh luar biasa karena kehilangan beberapa pesona bersejarah. Saya merasa ini adalah lebih banyak tempat untuk membuat gambar yang sangat bagus, tapi tidak lebih.;Ditulis pada 17 September 2016
Mathylde B;"Harus melihat jika anda berada di sekitar. Anda dapat melihat matahari terbit dari atas candi (saya memesan tiket untuk ini ""kegiatan"" dari hotel kami berdiri di) monumen yang penuh sejarah!";Ditulis pada 16 September 2016
Alex J;Kami mengunjungi kuil ini beberapa bulan yang lalu (hari-perjalanan, dikombinasikan dengan layanan taksi, mobil pribadi untuk 500,000 Rp). Kuil ini benar-benar layak dikunjungi, partic. Jika anda tidak mengunjungi kuil tempat seperti di kamboja atau myanmar.Direkomendasikan: membayar untuk panduan di pintu masuk (sekitar 100,000 Rp), itu akan membantu untuk menghargai kuil sepenuhnya.Ada museum di situs web, tempat ini menarik, tapi jika anda sedang terburu-buru, lebih baik menghabiskan berjalan di sekitar candi (anda harus merencanakan untuk sekitar 2 - 3 jam untuk mengunjungi). Ketika anda meninggalkan situs dan kepala ke arah tempat parkir, anda akan perlu untuk berjalan melalui daerah perbelanjaan - tawar menawar!Toilet cukup tersedia, relatif bersih (memiliki kertas tisu dengan anda).;Ditulis pada 15 September 2016
lianhuamin;Kami telah mengunjungi beberapa kuil buddha, sebagian besar negara yang berpenduduk buddha, tetapi mengunjungi sebuah kuil buddha di indonesia adalah cukup pengalaman. Penduduk setempat (kebanyakan muslim) mengunjungi kuil di hari Aidil al adha, berbaur dengan orang asing sangat indah dilihat.;Ditulis pada 15 September 2016
;;
flyingFrenchman29;Buitl di the 8th century, kuil buddha ini mengingatkan saya sedikit dari angkor wat. Hotel ini terletak 40 km dari yogyakarta, jadi jika anda ingin melihat matahari terbit, anda akan ingin untuk tinggal lebih dekat ke kuil. Ada banyak wisatawan... dan banyak toko-toko untuk berjalan setelah anda meninggalkan candi - ini adalah dua sisi yang saya bisa melihat. Namun yang harus dikunjungi!;Ditulis pada 15 September 2016
Gede_Dana;kunjungan ini tidak lengkap tanpa mengunjungi candi borobudur ketika anda berada di sini di jogja. Hotel ini terletak 1 jam dari jogja. Di sini anda akan kagum dengan ukurannya, dan juga keindahan itu relief... cara terbaik untuk sampai ke sana adalah dengan motor seperti ketika anda bepergian dengan pasangan dan menyewa mobil ketika anda bepergian dengan lebih dari 2 orang;Ditulis pada 14 September 2016
DaisyandThyme;Sayangnya saya mengunjungi borobudur pada hari hujan. Itu cukup sulit untuk menghargai tempat dengan hujan, keramaian turis dan payung. Aku memesan tur untuk melihat matahari terbit di candi, ada tidak ada matahari terbenam, tapi aku cukup beruntung untuk memiliki tempat sendiri untuk sementara. Saya sarankan untuk melihat matahari terbit di candi, terutama pada hari yang cerah, selain itu jika anda tinggal ada untuk sementara anda dapat melihat itu hampir kosong, karena orang di sana sangat awal anda akan banyak pengunjung yang datang dan pergi ketika kuil terbuka belum juga tiba.;Ditulis pada 14 September 2016
Anil B;Jika anda berada di pulau jawa, kompleks candi ini adalah harus melihat. itu adalah terpelihara dengan baik dan indah dipulihkan. Dan jika anda tertarik dalam sejarah atau budaya apapun seperti, ini adalah harus melihat sementara perjalanan dekat.;Ditulis pada 13 September 2016
Timmi002;Ini adalah salah satu peninggalan sejarah di indonesia. Pasti patut dikunjungi. Pergi di pagi hari untuk menghindari panas hari dan mungkin lebih banyak meskipun di 6:30 tempat ini membanjiri dengan wisatawan, kedua orang indonesia dan orang asing. Keluar dari kompleks seperti yang mereka lebih baik anda melintasi daerah setempat yang menjual suvenir, makanan dan minuman. Luangkan 2 jam untuk melakukannya.;Ditulis pada 12 September 2016
anak p;Siapa saja yang dibangun kuil ini sangat jenius! Saya tidak tahu harus berkata apa... Saya tidak bisa berkata-kata. Saya belajar di sekolah dasar ini, tetapi tidak mengharapkan kuil ini akan di luar imajinasi. Ini adalah luar biasa karya seni.;Ditulis pada 11 September 2016
Andy B;Kami tiba di pagi hari di 6am... Waktu terbaik untuk memulai. Jika anda tiba terlambat di keramaian sangat buruk. Cuaca adalah terlalu panas juga. Seluruh daerah ini terus sangat bersih yang sangat bagus untuk melihat. Ukiran yang luar biasa di seluruh bagian di dalam kondisi yang masih luar biasa. Anda dapat berjalan di sekitar candi yang terus mengikuti pencerahan spiritual dan perlahan-lahan panjat hingga anda mencapai tingkat atas. Pemandangan indah dan seluruh tempat sangat menyenangkan. Perhatikan para pedagang di sekitar tetapi mereka selalu mudah untuk berurusan dengan... terutama jika anda tiba lebih awal. Harus dilakukan dari yogyakarta. Direkomendasikan.;Ditulis pada 9 September 2016
andrewdM5009TO;Pertama, kita harus ingat ini adalah candi buddha terbesar di dunia, jadi tidak ada pertanyaan tentang apakah atau tidak untuk pergi. Namun, apa yang saya pikir adalah sangat baik tentang melakukan tur matahari terbit. Kami memutuskan untuk melakukan hal yang anda harus bangun di 4am mungkin sebelumnya tergantung dimana anda tinggal. Kami meninggalkan cukup kecewa berat karena ada kabut, kami tidak bisa melihat hal itu. Itu masih sangat dingin tapi tidak spektakuler. Kami menikmati tempat ini banyak sekali matahari penuh dan tercium dari kabut. Saran saya adalah untuk mengambil cepat melihat ramalan hari sebelum dan dasar keputusan anda itu. Kami mengunjungi kuil ini di bulan juli. Kami melakukan dua wisata matahari terbit di indonesia, yang lain untuk gunung bromo dan juga memiliki berat yang tebal membuat jarak pandang sangat rendah, jadi mungkin itu hanya waktu yang saya tidak yakin.;Ditulis pada 7 September 2016
Andrzej_PL;Indah dan magis. Pemandangan saat matahari terbenam. Anda bisa menemukan patung buddha di dalam lonceng yang terkenal. Ketika anda berada di yogyakarta ini layak melihat kuil ini!;Ditulis pada 7 September 2016
Julia N;Saya mengunjungi tempat ini dengan anak saya, yang hidup di indonesia. Hotel ini besar dan menyebar keluar. Masing-masing candi yang fantastis dan itu adalah tempat yang tenang meskipun ada turis dari seluruh dunia. Saya sangat senang bahwa saya telah... suasanaluar biasa. Ada banyak tangga sehingga sulit jika anda tidak dapat berjalan dengan baik;Ditulis pada 6 September 2016
;;
Kathryn H;Kuil yang menakjubkan dan layak melihat mereka. Anda tidak mendapatkan banyak informasi tentang candi tentang bagaimana mereka dibangun dll jadi google ini sebelum tangan. Jika anda diberi pilihan untuk lihat sunset dari bukit di luar menghadap candi tidak mengganggu karena sampah! Anda tidak dapat benar-benar melihat kuil, ada tambahan biaya untuk mendaki bukit, dan biaya tambahan lainnya untuk pergi ke rumah pohon. Juga tidak melihat matahari terbit dan waktu atau membayar ekstra dan melihat dari dalam;Ditulis pada 5 September 2016
985madelineq;Terlepas dari agama anda (saya bukan seorang buddha tidak), anda akan merasa damai ketika anda melihat kuil ini. Anda mungkin mempertimbangkan untuk menyewa pemandu wisata, cukup terjangkau dan anda akan belajar lebih banyak tentang tempat ini). Namun, ada sebuah jalan yang panjang toko souvenir setelah anda keluar dari candi (sekitar 15 menit). jadi bersiaplah jika anda mengikuti tur kelompok.;Ditulis pada 5 September 2016
rhunt1;Aku pergi beberapa tahun yang lalu tapi itu masih di belakang kepala saya, bahwa tempat ini penuh dengan sejarah dan pemandangan yang indah baik itu sendiri. Aku punya foto yang diambil dari objek wisata terbaik di perjalanan, dari batu ke batu bata dan struktur itu salah satu raksasa belalang yang ditemukan di lokasi. Tapi terlalu buruk karena untuk letusan gunung berapi, sehingga bagian atas di renovasi/memperbaiki kembali kemudian. Saya selalu ingin kembali lagi untuk merasakan sensasi berbeda ketika anda menginjakkan kaki di tempat ini. Ini membantu kami karena kami tinggal hanya di samping kuil.;Ditulis pada 5 September 2016
CharlesandCharlie;Pergi di sini dengan taksi dari hotel kami di yogyakarta.Satu-satunya tempat untuk membeli tiket dan akses ke kuil ini di hotel di lapangan. Tidak tiba sebelum 4am sebagai penjaga keamanan tidak akan membiarkan anda.Sekali di dalam anda dapat membeli tiket (toilet yang tersedia) dan minuman panas dari berdiri.Mereka menyediakan anda dengan senter dan kemudian anda berjalan ke temple (10mins).Sampai di depan kerumunan untuk membawa tas anda sendiri tempat yang bagus di bagian atas candi. Pemandangan yang luar biasa dan pengalaman yang luar biasa - membuat perjalanan ke ini situs warisan dunia unesco.;Ditulis pada 4 September 2016
Jo T;Luar biasa. Pemandangan yang sangat indah. Pantas untuk dikunjungi!Ini hanya satu jam berkendara dari yogyakarta dan dapat melihat gaya kehidupan lokal sepanjang jalan.;Ditulis pada 4 September 2016
Vignesh M;Borobudur adalah tempat untuk dikunjungi jika anda dapat mengagumi arsitektur dan sejarah. Ini adalah sebuah kuil buddha besar, mungkin salah satu arsitektur buddha terbesar di dunia. Ini menyedihkan bahwa tempat ini mendapatkan dua kali oleh gempa bumi yang menyebabkan kerusakan beberapa patung buddha. Hotel ini dikelilingi oleh taman yang terpelihara dan hutan hijau yang lebat. Toko suvenir yang baik di sekitar tempat ini. Tidak ada atraksi untuk anak-anak.;Ditulis pada 3 September 2016
Jenny;Ini adalah sebuah kuil buddha dan banyak hotel di sekitar bagi anda untuk meletakkan untuk malam. Sebagian besar orang akan tinggal di dekatnya untuk malam hari karena dapat melihat matahari terbit di puncak candi borobudur. Namun, tidak ada yang dapat diperoleh di daerah di malam hari. Biasanya, para wisatawan disarankan untuk melakukan candi prambanan dan borobudur sebagai jalan utama.;Ditulis pada 3 September 2016
Carreen C;Hanya bersiaplah untuk berhadapan dengan penjual yang ketika anda berjalan di. Itu adalah pengalaman yang luar biasa. Kami memiliki panduan yang sangat berharga dalam mengajar kita semua tentang candi, ukiran itu ulasan yang sangat singkat dan buddhisme.;Ditulis pada 2 September 2016
fife_4;"Kami benar-benar menikmati perjalanan kami ke candi borobudur. Tempat yang menakjubkan dan tempat yang indah. Kami mendapat tur, dan itu pasti layak. Membuat waktu kami di sana jauh lebih menyenangkan untuk memahami beberapa hal tentang candi. Ada banyak penjual yang gila ketika anda meninggalkan candi dan beberapa dapat memaksa/ulat. jadi bersiaplah untuk mengabaikan banyak orang berkata ""tidak"" banyak ketika meninggalkan. Harga adalah banyak lebih tinggi daripada di tempat lain di indonesia, jadi bersiaplah untuk itu, dan mereka hanya mengambil uang tunai (setidaknya mereka lakukan hari aku ada di sana), jadi bersiaplah untuk itu juga.Pasti akan merekomendasikan kepada siapa pun yang borobudur di jawa tengah.";Ditulis pada 2 September 2016
Afrizal L;"Turis lokal yang akan mengatakan ""wahh"" tapi wisata internasional seperti "" kenapa orang-orang membangun batu ini begitu sempurna! ""Waktu terbaik datang ke sini di pagi atau setelah jam 3 karena sinar matahari tidak akan membakar anda pada waktu itu. Namun bahkan sinar matahari adalah panas, anda masih akan kagum dengan tampilan yang bagus.";Ditulis pada 2 September 2016
;;
Jelica E;Borobudur adalah indah. Meskipun saat itu hujan pada waktu itu, kami masih menikmati itu pemandangan yang menakjubkan! Kami tidak mengambil tur matahari terbit karena itu berawan ketika kami mengunjungi (maret 2016). Lebih baik anda membawa mantel hujan jika anda berkunjung pada musim hujan. Ada banyak pelajar di hari jumat. Makanan dan minuman tersedia di dekat pintu keluar.;Ditulis pada 1 September 2016
ThenTryThis;Kami memulai hari di 3:30 pergi ke bukit dan menonton matahari terbit di atas borobudur, itu sepadan dengan usaha. Kuil itu sendiri adalah pengalaman yang sangat bagus, mudah untuk menemukan jalan sekitar banyak f & b, toko suvenir, dan jangan lewatkan museum kecil untuk informasi tambahan. Tiba lebih awal untuk menghindari kelompok bus. Sopir kami/panduan untuk hari, yang adalah tidak hanya sangat berpengetahuan tentang daerah, tetapi juga membantu kami menemukan tempat yang akan sedikit pengalaman di daerah ini. (Malik dapat dicapai dengan sms di 62... );Ditulis pada 1 September 2016
Lukas D;Kuil ini sangat menarik, indah untuk melihat dan mengambil gambar. Aku akan mengatakan lebih tinggi anda mendaki lebih baik ini. Sayangnya, ada orang-orang yang berjalan di sekitar anda seperti juta yang membuat sangat sulit mengambil gambar. Saya merekomendasikan untuk berjalan kaki singkat ke hutan dan melihat candi yang dari kejauhan, tidak banyak orang melakukan itu dan anda akan mendapatkan pemandangan yang bagus dan tenang, ikuti jalan.;Ditulis pada 31 Agustus 2016
Sisira;Kami melakukan kunjungan singkat ke candi. Tiba dari singapura pada penerbangan air asia. Kami mengatur transportasi dasar. Pengemudi dan panduan sangat baik. Mengatur perjalanan ke kuil di sekitar 1 dan setengah jam. Bisa sampai 2 jam di lalu lintas yang padat. Menghabiskan satu jam dan setengah di objek wisata. Tidak sebagai besar sebagai angkor wat. Arsitektur yang menarik. Hanya melihat dari luar karena pintu gerbang kuil hindu akan tutup. Diturunkan di bandara sekitar 6,15 untuk mengejar penerbangan ke bali. Waktu yang dihabiskan dengan baik. Hari yang menarik.;Ditulis pada 31 Agustus 2016
niikiiiicnn;Sangat besar!Menakjubkan, layak berjalan kaki!Mendapatkan diri anda pemandu tur dan mendengarkan cerita sejarah yang fantastis dan hanya menikmati saat!Arsitektur sangat jenius dan indah!Akan senang untuk pergi lagi Harus pergi;Ditulis pada 31 Agustus 2016
John P;Salah satu pemandangan paling mengagumkan yang pernah kami lihat. Mutlak harus jika anda mengunjungi jogja.sulit untuk percaya itu dibangun 1300 tahun yang lalu dan kemudian ditemukan hanya sekitar 200 tahun yang lalu.Seluruh properti adalah terpelihara ini hanya nafas-mengambil ketika matahari di horizon seksi.Hanya pergi, anda tidak akan menyesal;Ditulis pada 30 Agustus 2016
Mikefin12;Kuil yang luar biasa dekat dengan yogya. Biaya masuk bervariasi. Dari 400000 untuk matahari terbit untuk 130000 jika anda pergi selama hari dengan kartu siswa.Agak ramai, tapi ini sangat besar sehingga tidak ada masalah. Waktu sekitar 2 jam untuk mengunjungi ini mungkin kurang. Pemandangan dari atas kuil sangat indah, hutan di kaki anda. Anda dapat membeli banyak suvenir di jalan kembali. Benar-benar layak;Ditulis pada 29 Agustus 2016
AdelF;Kami diberitahu bahwa kami harus mengejar matahari terbit di candi borobudur! Kami mengindahkan saran meskipun enggan harus bangun dan meninggalkan villa kami oleh 4am! Tempat ini sangat gelap tapi semua kualitasnya obor kecil untuk melihat di mana kita pergi. Anda tidak akan merasa sendirian, bahkan dalam gelap karena ada terlalu banyak wisatawan! Kami diantar masuk ke lingkungan kuil dari timur. Dari sana anda akan gunung banyak curam langkah dalam gelap jadi pastikan untuk memakai sepatu berjalan yang nyaman! Setelah anda dekat dengan hotel, cari tempat tidak jauh dari tangga dan duduk untuk menunggu matahari terbit! Tempat ini sangat ramai dengan turis jadi bertindak cepat! Pemandangan luar biasa di 360. Kami menghabiskan waktu di sana hingga 7am sebelum berangkat untuk sarapan. Selamat Menikmati! Oh, dan seluruh pengalaman itu 400 000 rupiah per orang.;Ditulis pada 29 Agustus 2016
LBBL_Linda;Kami pergi dengan dua anak remaja dan suami saya. Saya pikir tempat ini lebih untuk orang dewasa daripada anak remaja. Kami tidak mengambil tur awal untuk melihat matahari terbit, itu satu, anda perlu untuk meninggalkan hotel pukul 4:30 Kami meninggalkan hotel pukul 8:30 dan tiba sekitar jam 10am.Meskipun pemandu wisata sudah memperingatkan kita bahwa akan ada banyak orang, karena kami mengunjungi pada hari sabtu. Untuk kita, itu tidak terlalu buruk. Kami berjalan menaiki tangga dan mengambil beberapa foto yang tidak ada orang lain di sekitar. Itu sedikit panas untuk remaja. Saya pikir itu adalah sekitar 32 - 34 derajat pada waktu itu. Kuil ini layak melihat, terutama patung dan cara mereka dibangun untuk terlihat seperti gunung dengan banyak patung di setiap lantai.Anda disarankan untuk pergi ke tingkat atas di sekitar searah jarum jam dan ini dibangun menurut mandela.Jika anda membandingkan ini ke angkor wat. Saya pikir angkor wat adalah superior, tapi ini layak dikunjungi juga.;Ditulis pada 29 Agustus 2016
Julie1002014;Kami pergi di pagi hari dengan pemandu, tapi anda tidak harus memiliki satu. Untuk naik ke atas, sambil menunggu matahari terbit perlahan berjalan. sangat bergerak pengalaman.;Ditulis pada 29 Agustus 2016
;;
PCumbo88;dua hal yang menurut saya tentang tempat ini. Yang pertama adalah kuil itu sendiri. Benar-benar luar biasa dan salah satu mendapatkan untuk menghargai semua kerja keras yang diperlukan untuk membangun sebuah kuil. Kedua adalah lokasi. Hotel ini berada di tengah hutan. Setelah anda mencapai bagian atas candi borobudur, anda bisa melihat pemandangan hutan sekitarnya. Pasti patut dikunjungi.;Ditulis pada 25 Agustus 2016
Pote.Phrommeth;Aku pergi mereka sendiri dengan tur pagi. Kami pertama kali pergi ke bukit untuk melihat matahari terbit dari bukit, tapi itu hujan, sehingga kami tidak melihat apa-apa. Setelah itu semakin terang, kami memasuki kuil, masih sedikit hujan tapi ini membuat lapisan berkabut yang indah dengan pegunungan di latar belakang. Sarapan yang termasuk dalam tur. Saya pikir tempat ini tidak layak 30K.;Ditulis pada 22 Agustus 2016
MC_Feghali;Harus melihat setidaknya sekali dalam seumur hidup.Kuil ini indah dan dikelola dengan sangat baik. Anda akan membutuhkan sebuah topi waktu anda, kecuali tentu saja anda ingin pergi untuk melihat matahari terbit. Karena kami ingin melihat sunset, kami pergi tidak lama sebelum menutup, di 4pm, dan tinggal di sana untuk melihat cahaya matahari di temple: sangat indah! Anda tidak perlu membayar untuk tur matahari terbenam, kecuali tentu saja anda ingin panduan, anda dapat hanya pergi ke sana sedikit lebih awal dan mereka akan membiarkan anda tinggal. Namun jika anda tiba setelah 5, anda tidak bisa pergi di dalam.Bersiaplah untuk mengambil beberapa anak tangga yang tinggi, tapi saya garantee layak.;Ditulis pada 21 Agustus 2016
KJHEngland;Borobudur adalah salah satu keajaiban dunia, setara dengan angkor wat & taj mahal. Namun, ini masalah bersama sama dalam hal banyaknya orang yang berdesak-desakan untuk melihat. Meskipun banyak membayar banyak tempat untuk mengunjungi di fajar, orang yang kami ajak bicara mengatakan bahwa mereka merasa ditipu, memiliki hak istimewa untuk berbagi dengan banyak orang lain. Foto matahari terbit dari atas candi karena hampir mustahil untuk mengambil selfie atau tripod tanpa mendapatkan di jalan. Kami terjaga & pergi pada pukul 6 pagi, ketika cahaya masih bagus, banyak pengunjung meninggalkan 4,30 & sebelum perjalanan dengan bus mulai berkerumun di. Banyak orang lain telah ide yang sama, tetapi itu adalah masih sebuah pengalaman ajaib.;Ditulis pada 21 Agustus 2016
robinson25261;Kami tinggal secara lokal di rumah dharma di borobudur dan tidak memiliki panjang perjalanan dari yogya saja kami naik sepeda pendek ke candi dan bisa sampai di sana dengan 6am ketika kuil terbuka untuk tamu hari. Tiba lebih awal dan anda dapat membeli tiket matahari terbit yang dapat menjadi besar, tergantung pada cuaca. Tiba pada pukul 6 pagi, dan anda masih dapat melihat pemandangan indah di pagi hari dan kuil ini cukup tenang. Saya akan merekomendasikan hal ini sebagai waktu yang tepat untuk mengunjungi. Kami juga membayar 100 000 untuk panduan pribadi yang layak. Pintu keluar sangat panjang melalui banyak kios, tapi sebagian besar ditutup ketika kami pergi. Butuh waktu sekitar 3 jam di kunjungi di total dan itu layak.;Ditulis pada 20 Agustus 2016
sujata_tan;Kami pergi ke sana untuk matahari terbit, manohara melalui hotel, dan itu adalah hal terbaik yang saya telah mengalami selama perjalanan. Kami tiba sekitar 4:30 borobudur, antri untuk tiket, dan kami pergi ke kuil. Itu sangat tenang dan damai meskipun ada sudah cukup banyak pengunjung. Semua orang menunggu untuk matahari terbit, tenang.Di luar kuil, dan ini adalah tempat yang harus dikunjungi!;Ditulis pada 19 Agustus 2016
Feenixwest;Matahari terbit di candi atau lebih baik dari yang sebenarnya, Barade hill, adalah waktu terbaik. Banyak pengunjung yang kurang dan lebih dingin dari hari. Kami pergi ke Barade bukit di mana ada banyak ruang untuk lima puluh atau jadi turis. Harganya rp 30 000. Teman-teman saya pergi ke kuil dan kami sedikit kecewa ketika mencoba untuk mengambil gambar matahari terbit yang khas yang kami lihat di majalah tempat semua, ada banyak orang dan itu tidak mungkin untuk mengambil gambar tanpa orang di saat matahari terbit. Kami menyewa sebuah panduan pribadi untuk 100 000 $untuk 4 orang untuk satu jam. Ini sangat layak untuk dikunjungi. Dia memberi kami banyak informasi tentang tujuan dari sembilan tingkat, dari waktu ke waktu dan upaya restorasi baru-baru ini didanai oleh unesco, cerita dari buddha di ukiran dan patung buddha cerita sebelum, dan membawa kami ke obyek foto terbaik untuk sepanjang waktu. Dia membawa kami ke lantai atau dua kali dari pembajakan sampai ke puncak yang menurut saya lebih masuk akal untuk pendekatan terbesar ini, satu candi buddha terbesar di dunia. Makan siang yang santai di lapangan yang melihat di kuil ini sesuai dengan waktu. Indah taman pekarangan. Jangan lewatkan!;Ditulis pada 19 Agustus 2016
